Age (Ma)	d18O adj
      0	3.28
      0	3.58
  0.002	3.16
  0.002	2.91
  0.004	3.33
  0.004	3.16
  0.004	3.58
 0.0059	3.66
  0.006	3.23
  0.007	2.97
  0.008	3.23
  0.008	3.71
   0.01	 3.2
   0.01	3.11
 0.0118	4.35
  0.012	3.65
  0.012	4.34
  0.013	3.47
  0.015	4.32
  0.016	4.72
 0.0179	5.07
  0.018	4.82
  0.018	5.05
  0.018	 4.7
   0.02	4.97
   0.02	4.71
 0.0214	4.99
  0.023	4.42
  0.024	4.93
  0.024	4.62
  0.026	4.82
  0.027	4.77
  0.028	4.46
  0.028	4.59
   0.03	 4.3
 0.0305	4.65
  0.032	4.52
  0.033	4.54
  0.033	4.28
 0.0335	 4.8
  0.036	4.48
 0.0361	4.67
  0.037	4.18
 0.0388	4.59
   0.04	4.35
   0.04	4.57
  0.041	4.38
  0.042	 4.2
 0.0423	4.53
  0.044	4.58
 0.0457	4.45
  0.047	4.27
  0.048	4.13
  0.048	4.48
 0.0486	4.58
   0.05	4.43
 0.0507	4.45
  0.052	4.42
  0.052	3.93
  0.052	4.46
 0.0529	4.19
  0.055	4.23
  0.055	4.03
  0.056	4.47
 0.0569	4.55
  0.057	3.85
   0.06	4.54
 0.0607	4.66
  0.061	4.19
  0.064	4.35
  0.064	4.19
  0.064	4.53
 0.0645	4.37
  0.065	4.76
  0.068	4.39
  0.069	4.13
 0.0705	3.96
  0.072	3.96
  0.072	 4.2
 0.0741	3.99
  0.076	4.15
  0.076	4.14
  0.077	3.89
 0.0799	3.77
   0.08	3.61
   0.08	3.51
   0.08	4.05
 0.0829	4.04
  0.083	3.69
  0.084	 3.9
  0.086	4.29
  0.087	3.87
  0.088	3.84
  0.089	3.92
 0.0894	4.07
   0.09	4.25
  0.091	3.61
  0.092	 3.9
 0.0929	4.02
  0.095	3.68
  0.095	3.42
  0.096	3.95
 0.0967	3.81
  0.098	3.72
  0.099	3.74
    0.1	3.89
 0.1004	3.62
  0.101	3.85
  0.104	3.54
  0.104	3.47
  0.104	 3.8
 0.1062	3.97
  0.108	3.76
  0.109	3.85
  0.109	3.81
  0.112	   4
  0.112	3.68
  0.113	3.87
  0.114	3.28
  0.114	3.45
 0.1155	3.69
  0.116	3.43
  0.118	4.25
 0.1188	3.62
  0.119	2.72
   0.12	3.22
   0.12	3.25
 0.1216	3.19
  0.122	2.69
  0.124	 3.3
 0.1244	3.05
  0.126	2.79
  0.126	 4.4
 0.1269	3.84
  0.128	3.78
  0.131	3.69
 0.1312	4.64
  0.132	4.43
  0.133	 4.5
  0.135	4.99
  0.136	4.96
  0.136	4.77
  0.137	4.52
   0.14	4.89
   0.14	4.58
   0.14	4.79
  0.141	 4.8
  0.141	4.55
  0.143	4.55
  0.144	4.56
  0.144	4.74
 0.1447	4.93
  0.145	4.29
 0.1466	4.97
  0.148	4.68
  0.148	4.65
 0.1482	4.83
  0.149	5.07
 0.1498	4.74
  0.151	 4.3
  0.152	4.58
  0.152	4.58
  0.153	4.78
 0.1548	4.59
  0.156	4.06
  0.156	4.63
  0.157	 4.5
 0.1575	 4.6
   0.16	4.62
 0.1602	4.38
  0.161	4.77
  0.161	4.33
  0.163	4.35
  0.164	4.43
 0.1655	 4.3
  0.166	4.19
  0.167	4.53
 0.1676	4.36
  0.168	4.27
 0.1698	 4.5
  0.171	4.11
  0.171	4.03
  0.172	4.42
  0.172	4.25
 0.1741	4.52
  0.176	 4.2
  0.176	4.11
  0.176	4.29
 0.1763	4.61
   0.18	4.34
 0.1808	4.33
  0.181	4.14
  0.183	 4.5
  0.184	4.27
  0.186	4.44
  0.186	3.94
 0.1873	4.06
  0.188	4.04
  0.189	3.62
   0.19	3.43
  0.191	3.95
  0.192	3.84
 0.1938	3.73
  0.194	2.87
  0.195	3.43
 0.1955	3.48
  0.196	3.71
 0.1969	3.69
  0.199	3.39
 0.1996	 3.8
    0.2	 3.4
    0.2	 3.7
  0.202	 3.2
 0.2024	3.63
  0.204	3.78
  0.205	3.38
 0.2051	3.55
 0.2079	3.56
  0.208	3.74
 0.2115	3.61
  0.212	3.67
  0.214	3.41
  0.216	3.79
 0.2161	3.53
  0.217	3.56
  0.219	3.56
   0.22	3.58
   0.22	3.96
   0.22	3.98
  0.222	 4.2
 0.2223	4.67
  0.224	4.15
  0.224	4.08
  0.225	4.72
 0.2256	4.33
  0.228	4.14
  0.228	4.15
 0.2289	3.99
  0.229	4.01
  0.232	3.35
  0.232	4.09
 0.2321	4.28
  0.235	 4.4
 0.2354	3.64
  0.236	3.42
  0.236	3.91
  0.238	3.63
 0.2387	3.45
   0.24	3.18
   0.24	3.76
  0.242	 3.4
 0.2427	3.91
  0.243	3.64
  0.244	4.02
  0.244	3.96
 0.2451	 4.4
 0.2473	 4.7
  0.248	4.36
  0.248	4.37
  0.248	4.25
 0.2493	 4.7
 0.2515	4.64
  0.252	4.57
  0.252	4.31
  0.252	4.31
 0.2535	4.44
  0.255	4.67
 0.2557	4.38
  0.256	 4.2
  0.256	4.33
 0.2576	4.47
  0.259	4.25
 0.2599	4.12
